AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,1,3,10,,,4,,2,4,2009,42,1,0,2,3
1,1,6,507,,,1,1,3,6,209,300,1,0,2,4
1,1,3,525,0,0,3,27,2,2,14,735,1,0,2,7
2,2,3,310,,,4,0,1,1,,,1,0,2,3
2,3,6,389,4578739,481438,4,0,1,2,,,1,4,0,0
2,1,3,109,,,4,0,2,2,,,1,0,2,8
2,1,3,151,,,4,0,0,2,,,1,12,2,3
1,4,3,136,0,0,3,1,2,2,,,1,0,2,3
2,1,2,11,,,3,0,2,2,,,1,0,2,0
1,1,7,89,4875700,625900,3,913,2,2,34,,3,13,0,1
2,2,6,261,4739338,67185,4,0,2,2,,,1,0,1,3
2,6,6,47,,,2,0,2,2,19,726,1,0,1,1
2,1,3,55,4878940,254892,3,185,2,2,0,0,1,0,2,4
2,1,2,262,,,4,0,2,2,,,1,0,2,4
2,1,6,163,4617663,386621,2,7,2,2,8,600,1,0,1,3
2,1,6,407,,,4,0,2,2,1,0,1,0,1,8
2,3,3,49,,,3,0,2,2,,,1,0,2,3
